Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
James Madison,131,28,1816,64.9,2004,71.6,-6.7,25,322,466,69.1,1603,41.2,0,0,0,337,12.036,366,13.071,883,31.5,1060,37.9,-6.3,0,208,7.4,536,19.1
Kansas,132,29,2176,75,1949,67.2,7.8,72.4,436,619,70.4,1703,46.2,0,0,0,501,17.276,415,14.31,1139,39.3,1040,35.9,3.4,0,198,6.8,582,20.1
Kansas St.,133,28,1943,69.4,1835,65.5,3.9,50,401,589,68.1,1590,44.5,0,0,0,427,15.25,398,14.214,1067,38.1,961,34.3,3.8,0,151,5.4,519,18.5
Kent St.,135,30,2202,73.4,1922,64.1,9.3,73.3,402,563,71.4,1733,44.4,0,0,0,499,16.633,381,12.7,1048,34.9,1036,34.5,0.4,0,230,7.7,567,18.9
Kentucky,136,30,2194,73.1,1884,62.8,10.3,86.7,408,586,69.6,1705,46.9,0,0,0,468,15.6,435,14.5,1077,35.9,943,31.4,4.5,0,237,7.9,553,18.4
La Salle,137,30,1953,65.1,2098,69.9,-4.8,33.3,420,599,70.1,1648,41.3,0,0,0,328,10.933,405,13.5,980,32.7,1068,35.6,-2.9,0,193,6.4,538,17.9
La.-Monroe,138,31,2117,68.3,2241,72.3,-4,38.7,408,630,64.8,1840,41.4,0,0,0,388,12.516,565,18.226,1132,36.5,1159,37.4,-0.9,0,246,7.9,650,21
Lafayette,139,28,2118,75.6,2035,72.7,3,64.3,435,610,71.3,1513,48.3,0,0,0,429,15.321,429,15.321,968,34.6,1049,37.5,-2.9,0,155,5.5,505,18
Lamar University,140,29,2294,79.1,2315,79.8,-0.7,37.9,480,691,69.5,1945,41.5,0,0,0,406,14,438,15.103,1137,39.2,1265,43.6,-4.4,0,269,9.3,547,18.9
Lehigh,141,30,2025,67.5,1902,63.4,4.1,66.7,412,576,71.5,1657,42.9,0,0,0,400,13.333,433,14.433,1090,36.3,1022,34.1,2.3,0,222,7.4,557,18.6
Liberty,142,32,2221,69.4,2142,66.9,2.5,56.3,427,633,67.5,1862,42.8,0,0,0,446,13.938,502,15.688,1199,37.5,1127,35.2,2.3,0,285,8.9,622,19.4
Lipscomb,143,28,1945,69.5,2170,77.5,-8,25,410,635,64.6,1528,44.7,0,0,0,331,11.821,448,16,932,33.3,1054,37.6,-4.4,0,182,6.5,538,19.2
Little Rock,144,29,2081,71.8,1895,65.3,6.4,58.6,534,739,72.3,1574,44.3,0,0,0,348,12,454,15.655,1072,37,930,32.1,4.9,0,187,6.4,580,20
LIU Brooklyn,145,27,1871,69.3,2042,75.6,-6.3,29.6,399,608,65.6,1531,42.7,0,0,0,353,13.074,484,17.926,1017,37.7,1040,38.5,-0.9,0,158,5.9,517,19.1
